date,mounts,downlink_length
2017/11/1 13:27,80,6689
2017/11/1 13:28,65,8148
2017/11/1 13:29,71,10340
2017/11/1 13:30,58,6526
2017/11/1 13:31,4918,4212
2017/11/1 13:32,37853,13352
2017/11/1 13:33,17,2557
2017/11/1 13:34,4,68
2017/11/1 13:35,8,1500
2017/11/1 13:36,13428,29548
2017/11/1 13:37,51287,21082
2017/11/1 13:38,57427,28834
2017/11/1 13:39,4943,17703
2017/11/1 13:40,11023,2598
2017/11/1 13:41,45224,59580
2017/11/1 13:42,45206,100356
2017/11/1 13:43,44013,69805
2017/11/1 13:44,46501,28830
2017/11/1 13:45,12313,45367
2017/11/1 13:46,78181,126268
2017/11/1 13:47,46480,91481
2017/11/1 13:48,62330,52431
2017/11/1 13:49,84276,95090
2017/11/1 13:50,135574,86133
2017/11/1 13:51,55022,41424
2017/11/1 13:52,41589,51964
2017/11/1 13:53,75775,147328
2017/11/1 13:54,42842,100613
2017/11/1 13:55,14727,58270
2017/11/1 13:56,91,49410
2017/11/1 13:57,62299,117677
2017/11/1 13:58,92867,111338
2017/11/1 13:59,95326,89723
2017/11/1 14:00,101383,103832
2017/11/1 14:01,146607,164972
2017/11/1 14:02,92875,95196
2017/11/1 14:03,51413,70454
2017/11/1 14:04,68468,127070
2017/11/1 14:05,149051,125243
2017/11/1 14:06,96525,77202
2017/11/1 14:07,201520,117943
2017/11/1 14:08,42905,69949
2017/11/1 14:09,179588,127392
2017/11/1 14:10,95361,173059
2017/11/1 14:11,48966,30979
2017/11/1 14:12,136860,127015
2017/11/1 14:13,152709,118900
2017/11/1 14:14,174664,176395
2017/11/1 14:15,67294,89842
2017/11/1 14:16,162477,135003
2017/11/1 14:17,114916,157540
2017/11/1 14:18,79482,94391
2017/11/1 14:19,80652,251726
2017/11/1 14:20,86830,103092
2017/11/1 14:21,50166,169565
2017/11/1 14:22,72174,90789
2017/11/1 14:23,131942,98130
2017/11/1 14:24,133,18679
2017/11/1 14:25,70912,79970
2017/11/1 14:26,99029,264827
2017/11/1 14:27,152721,84120
2017/11/1 14:28,51403,59402
2017/11/1 14:29,190592,81414
2017/11/1 14:30,34289,95972
2017/11/1 14:31,75785,89656
2017/11/1 14:32,70977,59000
2017/11/1 14:33,136816,72360
2017/11/1 14:34,19618,66036
2017/11/1 14:35,129475,94244
2017/11/1 14:36,40366,24474
2017/11/1 14:37,77013,115839
2017/11/1 14:38,74577,111740
2017/11/1 14:39,88054,80100
2017/11/1 14:40,14771,131583
2017/11/1 14:41,13577,51288
2017/11/1 14:42,130810,114033
2017/11/1 14:43,83077,62744
2017/11/1 14:44,74546,61024
2017/11/1 14:45,29409,51313
2017/11/1 14:46,67260,149463
2017/11/1 14:47,150,78649
2017/11/1 14:48,46494,47108
2017/11/1 14:49,95304,51091
2017/11/1 14:50,103893,73798
2017/11/1 14:51,202806,151436
2017/11/1 14:52,33120,95103
2017/11/1 14:53,190584,234727
2017/11/1 14:54,19689,129038
2017/11/1 14:55,124583,55457
2017/11/1 14:56,56261,75248
2017/11/1 14:57,199055,166272
2017/11/1 14:58,107,180619
2017/11/1 14:59,219892,199231
2017/11/1 15:00,46523,44751
2017/11/1 15:01,62391,96918
2017/11/1 15:02,73354,120052
2017/11/1 15:03,55040,143127
2017/11/1 15:04,92920,117710
2017/11/1 15:05,92879,116638
2017/11/1 15:06,107558,140142
2017/11/1 15:07,102680,225514
2017/11/1 15:08,224705,276254
2017/11/1 15:09,105127,168466
2017/11/1 15:10,56318,137140
2017/11/1 15:11,97751,59092
2017/11/1 15:12,29432,168983
2017/11/1 15:13,40340,28686
2017/11/1 15:14,73310,68660
2017/11/1 15:15,14746,125218
2017/11/1 15:16,11114,130181
2017/11/1 15:17,149034,69659
2017/11/1 15:18,46472,73092
2017/11/1 15:19,228386,141183
2017/11/1 15:20,109960,93065
2017/11/1 15:21,77035,162151
2017/11/1 15:22,23280,129180
2017/11/1 15:23,119746,216439
2017/11/1 15:24,150265,140757
2017/11/1 15:25,105105,118613
2017/11/1 15:26,14766,51150
2017/11/1 15:27,122204,36996
2017/11/1 15:28,101427,99593
2017/11/1 15:29,25740,22256
2017/11/1 15:30,41615,59539
2017/11/1 15:31,58702,145605
2017/11/1 15:32,189387,227362
2017/11/1 15:33,114870,205619
2017/11/1 15:34,48947,121989
2017/11/1 15:35,91624,94244
2017/11/1 15:36,34318,49555
2017/11/1 15:37,86769,64273
2017/11/1 15:38,70932,38586
2017/11/1 15:39,59907,46790
2017/11/1 15:40,58721,111185
2017/11/1 15:41,96566,200943
2017/11/1 15:42,120992,50276
2017/11/1 15:43,3772,77854
2017/11/1 15:44,79467,167856
2017/11/1 15:45,133213,195489
2017/11/1 15:46,94155,97234
2017/11/1 15:47,68491,34124
2017/11/1 15:48,57503,33184
2017/11/1 15:49,133217,87600
2017/11/1 15:50,105155,16752
2017/11/1 15:51,63551,68876
2017/11/1 15:52,76990,167652
2017/11/1 15:53,103847,187284
2017/11/1 15:54,183217,68648
2017/11/1 15:55,40441,20232
2017/11/1 15:56,3761,31752
2017/11/1 15:57,57431,125951
2017/11/1 15:58,100164,98892
2017/11/1 15:59,66052,136314
2017/11/1 16:00,56268,46331
2017/11/1 16:01,28163,47972
2017/11/1 16:02,58697,94330
2017/11/1 16:03,53781,109244
2017/11/1 16:04,84350,244852
2017/11/1 16:05,81923,177086
2017/11/1 16:06,197879,226976
2017/11/1 16:07,146560,105716
2017/11/1 16:08,92860,128573
2017/11/1 16:09,127067,100235
2017/11/1 16:10,70872,157695
2017/11/1 16:11,77006,167838
2017/11/1 16:12,128302,57555
2017/11/1 16:13,51418,142173
2017/11/1 16:14,36722,39047
2017/11/1 16:15,53817,62419
2017/11/1 16:16,29382,73575
2017/11/1 16:17,98976,115216
2017/11/1 16:18,63604,99210
2017/11/1 16:19,81876,117220
2017/11/1 16:20,128271,78138
2017/11/1 16:21,81881,158449
2017/11/1 16:22,106322,148031
2017/11/1 16:23,58733,20591
2017/11/1 16:24,84372,117626
2017/11/1 16:25,80707,13087
2017/11/1 16:26,56256,49638
2017/11/1 16:27,24501,127725
2017/11/1 16:28,144127,72884
2017/11/1 16:29,34293,58731
2017/11/1 16:30,36736,110424
2017/11/1 16:31,122187,38459
2017/11/1 16:32,29422,50971
2017/11/1 16:33,58680,69463
2017/11/1 16:34,79461,97616
2017/11/1 16:35,22119,61418
2017/11/1 16:36,20885,63193
2017/11/1 16:37,14771,72501
2017/11/1 16:38,84360,129029
2017/11/1 16:39,75798,159207
2017/11/1 16:40,57493,74253
2017/11/1 16:41,18403,45198
2017/11/1 16:42,210060,92324
2017/11/1 16:43,40447,98901
2017/11/1 16:44,136856,90118
2017/11/1 16:45,153907,63597
2017/11/1 16:46,78242,132053
2017/11/1 16:47,85517,115631
2017/11/1 16:48,91653,76254
2017/11/1 16:49,120991,177294
2017/11/1 16:50,136843,154529
2017/11/1 16:51,122193,104121
2017/11/1 16:52,156344,56606
2017/11/1 16:53,113606,82740
2017/11/1 16:54,177082,58081
2017/11/1 16:55,25722,60718
2017/11/1 16:56,105045,71983
2017/11/1 16:57,12302,10375
2017/11/1 16:58,96539,49091
2017/11/1 16:59,40375,125824
2017/11/1 17:00,98942,113285
2017/11/1 17:01,69711,65115
2017/11/1 17:02,172186,218076
2017/11/1 17:03,80626,86738
2017/11/1 17:04,199037,185727
2017/11/1 17:05,58734,119136
2017/11/1 17:06,29470,18085
2017/11/1 17:07,186940,126630
2017/11/1 17:08,186864,178565
2017/11/1 17:09,119753,58757
2017/11/1 17:10,74589,23737
2017/11/1 17:11,50152,30734
2017/11/1 17:12,51368,63310
2017/11/1 17:13,5020,14220
2017/11/1 17:14,77000,81239
2017/11/1 17:15,48898,55057
2017/11/1 17:16,80673,163910
2017/11/1 17:17,73333,69387
2017/11/1 17:18,124563,70893
2017/11/1 17:19,87984,110487
2017/11/1 17:20,66018,87783
2017/11/1 17:21,46501,70781
2017/11/1 17:22,118571,83667
2017/11/1 17:23,63616,86239
2017/11/1 17:24,64795,135104
2017/11/1 17:25,101429,76173
2017/11/1 17:26,84347,53604
2017/11/1 17:27,95322,152939
2017/11/1 17:28,116093,108060
2017/11/1 17:29,17193,126515
2017/11/1 17:30,40382,56277
2017/11/1 17:31,113,102808
2017/11/1 17:32,147840,102923
2017/11/1 17:33,107580,88450
2017/11/1 17:34,66056,59266
2017/11/1 17:35,95366,185542
2017/11/1 17:36,64851,184080
2017/11/1 17:37,70868,26594
2017/11/1 17:38,39170,21702
2017/11/1 17:39,89232,88154
2017/11/1 17:40,79495,190885
2017/11/1 17:41,55073,77200
2017/11/1 17:42,101448,64218
2017/11/1 17:43,51397,55613
2017/11/1 17:44,227172,96258
2017/11/1 17:45,51372,80261
2017/11/1 17:46,84375,78588
2017/11/1 17:47,78259,39492
2017/11/1 17:48,53851,64983
2017/11/1 17:49,41616,63188
2017/11/1 17:50,109971,81537
2017/11/1 17:51,55020,77065
2017/11/1 17:52,46475,82827
2017/11/1 17:53,84378,74126
2017/11/1 17:54,28213,98242
2017/11/1 17:55,102682,157489
2017/11/1 17:56,74601,64198
2017/11/1 17:57,18433,35478
2017/11/1 17:58,46532,21540
2017/11/1 17:59,40421,93831
2017/11/1 18:00,79451,151849
2017/11/1 18:01,106360,104377
2017/11/1 18:02,55028,96712
2017/11/1 18:03,122194,142775
2017/11/1 18:04,64796,85245
2017/11/1 18:05,24542,127279
2017/11/1 18:06,36700,92057
2017/11/1 18:07,84361,115787
2017/11/1 18:08,63596,64129
2017/11/1 18:09,62357,73397
2017/11/1 18:10,120951,99119
2017/11/1 18:11,136831,47460
2017/11/1 18:12,127,134157
2017/11/1 18:13,108759,143916
2017/11/1 18:14,206486,169680
2017/11/1 18:15,51406,156718
2017/11/1 18:16,42866,37313
2017/11/1 18:17,29402,20547
2017/11/1 18:18,39218,58376
2017/11/1 18:19,3809,56777
2017/11/1 18:20,85587,66990
2017/11/1 18:21,149023,128763
2017/11/1 18:22,130694,29548
2017/11/1 18:23,80632,52492
2017/11/1 18:24,85505,16827
2017/11/1 18:25,86,33956
2017/11/1 18:26,91632,51050
2017/11/1 18:27,55003,137973
2017/11/1 18:28,40378,70863
2017/11/1 18:29,31882,99576
2017/11/1 18:30,74570,46237
2017/11/1 18:31,69670,156786
2017/11/1 18:32,78186,164481
2017/11/1 18:33,48933,37440
2017/11/1 18:34,106318,154741
2017/11/1 18:35,172255,84123
2017/11/1 18:36,44045,151841
2017/11/1 18:37,37935,48423
2017/11/1 18:38,83094,55487
2017/11/1 18:39,46,10755
2017/11/1 18:40,25726,38905
2017/11/1 18:41,80652,38534
2017/11/1 18:42,70862,89798
2017/11/1 18:43,62352,175482
2017/11/1 18:44,64746,43442
2017/11/1 18:45,88008,36903
2017/11/1 18:46,81902,38979
2017/11/1 18:47,56229,154299
2017/11/1 18:48,87997,42873
2017/11/1 18:49,78238,31133
2017/11/1 18:50,107,31061
2017/11/1 18:51,29391,14063
2017/11/1 18:52,100164,43804
2017/11/1 18:53,39117,100512
2017/11/1 18:54,53780,77558
2017/11/1 18:55,82,12698
2017/11/1 18:56,59883,75914
2017/11/1 18:57,105,41891
2017/11/1 18:58,22081,108942
2017/11/1 18:59,33022,68944
2017/11/1 19:00,96,13592
2017/11/1 19:01,98961,61796
2017/11/1 19:02,135564,73106
2017/11/1 19:03,61136,31196
2017/11/1 19:04,19593,39765
2017/11/1 19:05,32996,55624
2017/11/1 19:06,95268,41120
2017/11/1 19:07,35455,56779
2017/11/1 19:08,78199,102706
2017/11/1 19:09,113591,134056
2017/11/1 19:10,125783,41599
2017/11/1 19:11,80604,72307
2017/11/1 19:12,48895,123212
2017/11/1 19:13,52574,40630
2017/11/1 19:14,167294,94627
2017/11/1 19:15,11039,28346
2017/11/1 19:16,81838,69019
2017/11/1 19:17,91570,105381
2017/11/1 19:18,47682,69056
2017/11/1 19:19,62286,64694
2017/11/1 19:20,63,18577
2017/11/1 19:21,22037,6051
2017/11/1 19:22,13490,93316
2017/11/1 19:23,42759,65223
2017/11/1 19:24,30583,9544
2017/11/1 19:25,47668,7269
2017/11/1 19:26,61079,113373
2017/11/1 19:27,36659,59342
2017/11/1 19:28,65952,23970
2017/11/1 19:29,90357,76431
2017/11/1 19:30,64729,21835
2017/11/1 19:31,73271,5253
2017/11/1 19:32,58617,46792
2017/11/1 19:33,46417,39344
2017/11/1 19:34,94013,78977
2017/11/1 19:35,122091,84572
2017/11/1 19:36,11010,29298
2017/11/1 19:37,47619,54109
2017/11/1 19:38,33,24295
2017/11/1 19:39,36631,9192
2017/11/1 19:40,34204,3696
2017/11/1 19:41,52522,101970
2017/11/1 19:42,3689,20756
2017/11/1 19:43,45188,30170
2017/11/1 19:44,48854,40239
2017/11/1 19:45,42,3805
2017/11/1 19:46,80589,15164
2017/11/1 19:47,52,5237
2017/11/1 19:48,34220,5430
2017/11/1 19:49,31764,70750
2017/11/1 19:50,14671,29102
2017/11/1 19:51,41,3166
2017/11/1 19:52,41,5959
2017/11/1 19:53,33,47124
2017/11/1 19:54,9821,77293
2017/11/1 19:55,39,6257
2017/11/1 19:56,23250,36824
2017/11/1 19:57,68388,29340
2017/11/1 19:58,11016,15653
2017/11/1 19:59,36671,15760
2017/11/1 20:00,53734,89828
2017/11/1 20:01,69623,56885
2017/11/1 20:02,2459,21705
2017/11/1 20:03,42,3193
2017/11/1 20:04,3685,30569
2017/11/1 20:05,25642,6311
2017/11/1 20:06,20,1105
2017/11/1 20:07,10,1097
2017/11/1 20:08,13,1385
2017/11/1 20:09,15,4687
2017/11/1 20:10,72045,40485
2017/11/1 20:11,81803,40040
2017/11/1 20:12,40,2635
2017/11/1 20:13,2465,3026
2017/11/1 20:14,97709,46990
2017/11/1 20:15,27,19035
2017/11/1 20:16,14674,2174
2017/11/1 20:17,65,31599
2017/11/1 20:18,6,1544
2017/11/1 20:19,44,3741
2017/11/1 20:20,34200,14792
2017/11/1 20:21,36,3134
2017/11/1 20:22,34,12932
2017/11/1 20:23,31,4108
2017/11/1 20:24,36,4657
2017/11/1 20:25,40,23646
2017/11/1 20:26,19,2088
2017/11/1 20:27,7,4123
2017/11/1 20:28,38,2461
2017/11/1 20:29,15,2306
2017/11/1 20:30,35,20513
2017/11/1 20:31,34,14228
2017/11/1 20:32,61064,30067
2017/11/1 20:33,3672,57464
2017/11/1 20:34,47624,11267
2017/11/1 20:35,26880,23529
2017/11/1 20:36,10992,49262
2017/11/1 20:37,3,3307
2017/11/1 20:38,39087,23735
2017/11/1 20:39,19,2784
2017/11/1 20:40,14668,30074
2017/11/1 20:41,9779,1278
2017/11/1 20:42,3681,34134
2017/11/1 20:43,21,3083
2017/11/1 20:44,19,3184
2017/11/1 20:45,21,1955
2017/11/1 20:46,18337,3140
2017/11/1 20:47,23,1464
2017/11/1 20:48,51301,20106
2017/11/1 20:49,18328,58064
2017/11/1 20:50,7,1509
2017/11/1 20:51,5,381
2017/11/1 20:52,4889,5228
2017/11/1 20:53,57,3397
2017/11/1 20:54,18,3369
2017/11/1 20:55,3672,2027
2017/11/1 20:56,10995,13249
2017/11/1 20:57,25641,11080
2017/11/1 20:58,11017,3510
2017/11/1 20:59,25644,8485
2017/11/1 21:00,31,1555
2017/11/1 21:01,43960,13388
2017/11/1 21:02,18,1303
2017/11/1 21:03,6,516
2017/11/1 21:04,6,613
2017/11/1 21:05,27,2852
2017/11/1 21:06,19534,1182
2017/11/1 21:07,11002,49602
2017/11/1 21:08,7,20596
2017/11/1 21:09,19540,26542
2017/11/1 21:10,4897,25779
2017/11/1 21:11,9,901
2017/11/1 21:12,13,1179
2017/11/1 21:13,14662,27731
2017/11/1 21:14,29299,484
2017/11/1 21:15,1,53
2017/11/1 21:16,3,815
2017/11/1 21:17,4886,61220
2017/11/1 21:18,0,47828
2017/11/1 21:19,29302,28748
2017/11/1 21:20,8,138
2017/11/1 21:21,12,1423
2017/11/1 21:22,3,3167
2017/11/1 21:23,29296,48873
2017/11/1 21:24,25652,573
2017/11/1 21:25,8,1273
2017/11/1 21:26,15,1446
2017/11/1 21:27,2,333
2017/11/1 21:28,29297,58
2017/11/1 21:29,32959,0
2017/11/1 21:30,10988,870
2017/11/1 21:31,18320,19062
2017/11/1 21:32,21979,26063
2017/11/1 21:33,30528,44224
2017/11/1 21:34,2,879
2017/11/1 21:35,1,573
2017/11/1 21:36,1,260
2017/11/1 21:37,7324,14648
2017/11/1 21:38,6,179
2017/11/1 21:39,13,897
2017/11/1 21:41,3,920
